ID	帮派	委任	醉侠	血战	战场	掠夺	争锋
烟雨朦胧丶小丘	双生逐梦	0	0	0	0	0	0
苏纯儿	双生逐梦	0	0	0	0	0	0
情剑浪子	天纵	0	0	0	0	0	0
素蝶	双生逐梦	0	0	0	0	0	0
凉城醉梦	双生逐梦	0	0	0	0	0	0
芊素言	天纵	0	0	0	0	0	0
上山不烂下山烂	双生逐梦	0	0	0	0	0	0
爱拼才能赢	双生逐梦	0	0	0	0	0	0
小雪妖	双生逐梦	0	0	0	0	0	0
阴萤儿	双生逐梦	0	0	0	0	0	0
北宫冰蓉	双生逐梦	0	0	0	0	0	0
大魔王丶无缺	天纵	0	0	0	0	0	0
奇奇无敌	双生逐梦	0	0	0	0	0	0
√狼顾	双生逐梦	0	0	0	0	0	0
咲冭陽	双生逐梦	0	0	0	0	0	0
甄舞	双生逐梦	0	0	0	0	0	0
风也知我思念你	双生逐梦	0	0	0	0	0	0
火雲刀	双生逐梦	0	0	0	0	0	0
哼哼猪、	双生逐梦	0	0	0	0	0	0
春花落入秋水丶	双生逐梦	0	0	0	0	0	0
醉酒戏红颜丶	天纵	0	0	0	0	0	0
墨浅ゝ	天纵	0	0	0	0	0	0
脆皮棉花糖	双生逐梦	0	0	0	0	0	0
韩金。	双生逐梦	0	0	0	0	0	0
流水潺	双生逐梦	0	0	0	0	0	0
滢滢窝へ	双生逐梦	0	0	0	0	0	0
